Types of images

Type        Description
FD          Full Disk (Entire Western Hemisphere)
CONUS       contiguous United States
SECTOR/pnw  Regional sector view: Pacific Northwest
SECTOR/nr   Regional sector view: Northern Rockies
SECTOR/umv  Regional sector view: Upper Mississippi Valley
SECTOR/cgl  Regional sector view: Great Lakes
SECTOR/ne   Regional sector view: Northeast
SECTOR/psw  Regional sector view: Pacific Southwest
SECTOR/sr   Regional sector view: Southern Rockies
SECTOR/sp   Regional sector view: Southern Plains
SECTOR/smv  Regional sector view: Southern Mississippi Valley
SECTOR/se   Regional sector view: Southeast
